Sport,Year,NOC,Real_MIT_Total,Pred_MIT_Total
Athletics,2000,CHN,0.007194244604316547,0.018518957215833017
Athletics,2004,CHN,0.014705882352941176,0.022955925392091986
Athletics,2008,CHN,0.014285714285714285,0.016474349124194182
Athletics,2012,CHN,0.04195804195804196,0.022515510354781356
Athletics,2016,CHN,0.0425531914893617,0.030645416230934263
Athletics,2020,CHN,0.034722222222222224,0.03405643099331335
Athletics,2024,CHN,0.027586206896551724,0.03232775382990189
Athletics,2000,GBR,0.04316546762589928,0.040724108197968754
Athletics,2004,GBR,0.029411764705882353,0.037007666958984504
Athletics,2008,GBR,0.03571428571428571,0.03147580726489305
Athletics,2012,GBR,0.04195804195804196,0.024711595543172843
Athletics,2016,GBR,0.04964539007092199,0.038565629042710284
Athletics,2020,GBR,0.041666666666666664,0.04569833602496685
Athletics,2024,GBR,0.06896551724137931,0.039569584283504815
Athletics,2000,JPN,0.007194244604316547,0.017061822643469234
Athletics,2004,JPN,0.014705882352941176,0.018575752102736574
Athletics,2008,JPN,0.007142857142857143,0.019813553503392173
Athletics,2012,JPN,0.006993006993006993,0.019064061771499396
Athletics,2016,JPN,0.014184397163120567,0.020320400161552753
Athletics,2020,JPN,0.013888888888888888,0.016638204133406404
Athletics,2024,JPN,0.006896551724137931,0.0246380364493154
Athletics,2008,NZL,0.014285714285714285,0.003916180513592835
Athletics,2012,NZL,0.006993006993006993,0.004322644342062333
Athletics,2016,NZL,0.028368794326241134,0.006757988461295487
Athletics,2020,NZL,0.013888888888888888,0.009570561978463473
Athletics,2024,NZL,0.013793103448275862,0.010506408649073722
Athletics,2000,USA,0.11510791366906475,0.10217446817770923
Athletics,2004,USA,0.18382352941176472,0.08238745888141406
Athletics,2008,USA,0.16428571428571428,0.10877734363738295
Athletics,2012,USA,0.1958041958041958,0.09935130443556571
Athletics,2016,USA,0.22695035460992907,0.11101711890620546
Athletics,2020,USA,0.18055555555555555,0.13379218786134053
Athletics,2024,USA,0.23448275862068965,0.11456065369311923
Cycling Track,2000,CHN,0.027777777777777776,0.0037019939987086013
Cycling Track,2004,CHN,0.027777777777777776,0.004941445538644866
Cycling Track,2008,CHN,0.03333333333333333,0.026740039081668925
Cycling Track,2012,CHN,0.0967741935483871,0.05569626600172217
Cycling Track,2016,CHN,0.03333333333333333,0.07473152828674869
Cycling Track,2000,GBR,0.1111111111111111,0.05628911803739463
Cycling Track,2004,GBR,0.1111111111111111,0.10549870659325652
Cycling Track,2008,GBR,0.4,0.10294972760580388
Cycling Track,2012,GBR,0.2903225806451613,0.1982351656208975
Cycling Track,2016,GBR,0.36666666666666664,0.1612663371145273
Cycling Track,2004,JPN,0.027777777777777776,0.02266177348272522
Cycling Track,2008,JPN,0.03333333333333333,0.04168828387994073
Cycling Track,2004,NZL,0.027777777777777776,0.027073417354182623
Cycling Track,2008,NZL,0.06666666666666667,0.04168828387994073
Cycling Track,2012,NZL,0.06451612903225806,0.08130990103574089
Cycling Track,2016,NZL,0.03333333333333333,0.08610993310343826
Cycling Track,2000,USA,0.027777777777777776,0.08656255268634783
Cycling Track,2012,USA,0.06451612903225806,0.020544454225452802
Cycling Track,2016,USA,0.06666666666666667,0.030395162224752855
Judo,2008,AZE,0.03571428571428571,0.010359883733050532
Judo,2016,AZE,0.03571428571428571,0.011291784304562945
Judo,2020,AZE,0.016666666666666666,0.03180885509740208
Judo,2024,AZE,0.03333333333333333,0.02383604271883557
Judo,2000,CHN,0.07142857142857142,0.03512854953042331
Judo,2004,CHN,0.08928571428571429,0.045811959979498384
Judo,2008,CHN,0.07142857142857142,0.0697607950467067
Judo,2012,CHN,0.03571428571428571,0.0462291239142252
Judo,2016,CHN,0.03571428571428571,0.028601073704910926
Judo,2024,CHN,0.016666666666666666,0.010991404730636407
Judo,2000,GBR,0.017857142857142856,0.016134454779114148
Judo,2012,GBR,0.03571428571428571,0.031644247257471135
Judo,2016,GBR,0.017857142857142856,0.02500964454027807
Judo,2020,GBR,0.016666666666666666,0.01564948308393363
Judo,2000,JPN,0.14285714285714285,0.0915656848944457
Judo,2004,JPN,0.17857142857142858,0.10066588812068097
Judo,2008,JPN,0.125,0.11787419462706067
Judo,2012,JPN,0.125,0.09992621306525916
Judo,2016,JPN,0.21428571428571427,0.0963109316401925
Judo,2020,JPN,0.2,0.1519804767320361
Judo,2024,JPN,0.13333333333333333,0.13967164167753282
Judo,2004,USA,0.017857142857142856,0.024264393737163055
Judo,2008,USA,0.017857142857142856,0.025441589067866806
Judo,2012,USA,0.03571428571428571,0.012919712660055985
Judo,2016,USA,0.03571428571428571,0.021203119583294572
Rowing,2008,CHN,0.047619047619047616,0.04986641727476882
Rowing,2012,CHN,0.023809523809523808,0.03989788677774695
Rowing,2016,CHN,0.047619047619047616,0.03171387741792637
Rowing,2020,CHN,0.07142857142857142,0.05717338359076187
Rowing,2000,GBR,0.07142857142857142,0.05937914217173185
Rowing,2004,GBR,0.09523809523809523,0.069005838550334
Rowing,2008,GBR,0.14285714285714285,0.08722702194380312
Rowing,2012,GBR,0.21428571428571427,0.11422965157542295
Rowing,2016,GBR,0.11904761904761904,0.12633926910153442
Rowing,2020,GBR,0.047619047619047616,0.09795371390645985
Rowing,2024,GBR,0.19047619047619047,0.07455849002793653
Rowing,2000,NZL,0.023809523809523808,0.008706590265704162
Rowing,2004,NZL,0.023809523809523808,0.021275251525840786
Rowing,2008,NZL,0.07142857142857142,0.031558702164924894
Rowing,2012,NZL,0.11904761904761904,0.0589302970629006
Rowing,2016,NZL,0.07142857142857142,0.08471898544462056
Rowing,2020,NZL,0.11904761904761904,0.06782986398025737
Rowing,2024,NZL,0.09523809523809523,0.07033792181260665
Rowing,2000,USA,0.07142857142857142,0.08591783600517956
Rowing,2004,USA,0.047619047619047616,0.07634520817841643
Rowing,2008,USA,0.07142857142857142,0.0720429493986869
Rowing,2012,USA,0.07142857142857142,0.07808224123403947
Rowing,2016,USA,0.047619047619047616,0.07358321239851315
Rowing,2024,USA,0.047619047619047616,0.05911393169141174
Volleyball Women,2004,CHN,0.3333333333333333,0.04298846897257554
Volleyball Women,2008,CHN,0.3333333333333333,0.09141473583083894
Volleyball Women,2016,CHN,0.3333333333333333,0.05008358731042813
Volleyball Women,2012,JPN,0.3333333333333333,0.04748197439917712
Volleyball Women,2008,USA,0.3333333333333333,0.04844128977418379
Volleyball Women,2012,USA,0.3333333333333333,0.19657846192295483
Volleyball Women,2016,USA,0.3333333333333333,0.207349308567055
Volleyball Women,2020,USA,0.3333333333333333,0.1997892497291758
Volleyball Women,2024,USA,0.3333333333333333,0.2049835111297934
Wrestling,2000,AZE,0.020833333333333332,0.027890341829902243
Wrestling,2004,AZE,0.018518518518518517,0.02088861174415091
Wrestling,2008,AZE,0.056338028169014086,0.04307420007276567
Wrestling,2012,AZE,0.09722222222222222,0.046400181450452445
Wrestling,2016,AZE,0.125,0.05750753464321222
Wrestling,2020,AZE,0.041666666666666664,0.04941392408745139
Wrestling,2024,AZE,0.041666666666666664,0.04736962545274716
Wrestling,2000,CHN,0.020833333333333332,0.014749877611493253
Wrestling,2004,CHN,0.018518518518518517,0.02690509990531014
Wrestling,2008,CHN,0.04225352112676056,0.03263421300998871
Wrestling,2012,CHN,0.013888888888888888,0.024843031368425198
Wrestling,2016,CHN,0.027777777777777776,0.035668398434929784
Wrestling,2020,CHN,0.05555555555555555,0.04165005543926966
Wrestling,2024,CHN,0.06944444444444445,0.0510519235478635
Wrestling,2000,JPN,0.020833333333333332,0.024813318329093115
Wrestling,2004,JPN,0.1111111111111111,0.037404274848909486
Wrestling,2008,JPN,0.08450704225352113,0.04835745858732213
Wrestling,2012,JPN,0.08333333333333333,0.05330946348377383
Wrestling,2016,JPN,0.09722222222222222,0.04219037622157808
Wrestling,2020,JPN,0.09722222222222222,0.050048334172694615
Wrestling,2024,JPN,0.1527777777777778,0.0664732219795709
Wrestling,2000,USA,0.14583333333333334,0.077806961582335
Wrestling,2004,USA,0.1111111111111111,0.07913698886785182
Wrestling,2008,USA,0.04225352112676056,0.06604497855013075
Wrestling,2012,USA,0.05555555555555555,0.05268791332251969
Wrestling,2016,USA,0.041666666666666664,0.047260379551426715
Wrestling,2020,USA,0.125,0.057723084241169696
Wrestling,2024,USA,0.09722222222222222,0.08522281377860555
